,carYear,modelName,trimName,mileage,wheelSystem,exteriorColorName,fleet,hasAccidents,Date,daysOnMarket,ownerCount,price,msrpString,savingsRecommendation,serviceProviderName,sellerRating,dealScore,sellerCity,priceDifferential,expectedPrice,vehicleIdentifier
52,2013,Model S,85 RWD,33455.0,RWD,Silver,True,True,11/29/2018,157,1.0,32910.0,105400.0,Great Deal,"Fortune Motor Group, Inc.",4.25,1.38785604,"Waukegan, IL",3564.0,36474,5YJSA1DN1DFP21582
53,2016,Model S,70D AWD,24289.0,AWD,Unknown,False,False,4/26/2019,8,1.0,42990.0,,Great Deal,Autoshow Sales & Service,4.11,1.3876947730000002,"Plantation, FL",5276.0,48266,5YJSA1E28GF129993
54,2015,Model S,70 RWD,28602.0,RWD,White,False,False,4/26/2019,8,1.0,38995.0,,Great Deal,Highline Auto Sales,4.45,1.387435789,"Willowbrook, IL",3022.0,42017,5YJSA1S14FF099532
55,2017,Model S,P100D AWD,14353.0,AWD,Red,False,False,1/12/2019,113,1.0,98945.0,121900.0,Great Deal,Gosch Ford Temecula,4.65,1.3785503669999999,"Temecula, CA",7725.0,106670,5YJSA1E41HF188421
56,2016,Model S,70 RWD,32799.0,RWD,Black,False,False,4/12/2019,23,1.0,39555.0,,Great Deal,Sam Jidd Luxury,4.12,1.373066726,"Des Plaines, IL",6026.0,45581,5YJSA1E16GF123861
57,2014,Model S,60 RWD,61231.0,RWD,Black,False,False,3/26/2019,39,3.0,29995.0,,Great Deal,Highline Auto Sales,4.45,1.3717366640000002,"Willowbrook, IL",5748.0,35743,5YJSA1S19EFP29916
58,2013,Model S,85 RWD,99673.0,RWD,Blue,False,False,3/27/2019,38,2.0,28995.0,,Great Deal,Rev It Motors,4.67,1.354373378,"Lakeside, CA",3478.0,32473,5YJSA1CNXDFP04331
59,2015,Model S,85D AWD,22791.0,AWD,Brown,False,False,4/9/2019,25,1.0,42995.0,,Great Deal,Auto Boutique - Columbus,4.17,1.35380014,"Columbus, OH",6551.0,49546,5YJSA1E27FF111998
60,2015,Model S,P85D AWD,46124.0,AWD,White,False,False,4/27/2019,8,1.0,44995.0,,Great Deal,Federal Auctioneers,4.17,1.3426524180000001,"Bronx, NY",8756.0,53751,5YJSA1H49FF094375
61,2018,Model S,75D AWD,14019.0,AWD,Black,True,False,4/5/2019,30,1.0,58855.0,,Great Deal,Sam Jidd Luxury,4.12,1.341095631,"Des Plaines, IL",4614.0,63469,5YJSA1E20JF246443
62,2018,Model S,75D AWD,18635.0,AWD,Black,True,False,4/30/2019,4,1.0,55993.0,64224.0,Great Deal,Greenwich Infiniti,4.26,1.334671264,"Greenwich, CT",5280.0,61273,5YJSA1E27JF234239
63,2013,Model S,85 RWD,57072.0,RWD,Black,False,False,4/19/2019,15,1.0,31995.0,,Good Deal,Highline Auto Sales,4.45,1.296362719,"Willowbrook, IL",3329.0,35324,5YJSA1CN4DFP13106
64,2013,Model S,85 RWD,51511.0,RWD,Silver,True,False,11/24/2018,162,2.0,32555.0,,Good Deal,Sam Jidd Luxury,4.12,1.293248052,"Des Plaines, IL",3321.0,35876,5YJSA1DN3DFP24239
