,year,model,config,mileage,drivetrain,transmission,ext_color,int_color,price,owners,ori_price,good_deal_margin,deal,hotornot,sellin,carfax,dealer,dealer_rating,dealer_review_number,dealer_zipcode,consumer_rating,consumer_review_number,vin
805,2015,Model S,85D,19170,AWD,Automatic,Gray,White,52950,1,,55744.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Ash Auto Group,4.6,69.0,85255.0,4.8,41,5YJSA1E27FF118238
806,2017,Model S,75D,21266,AWD,Automatic,Gray,Other,63000,more than 1,,69271.0,Good,NOT HOT,,Free AutoCheck Report,Courtesy Acura,4.8,3195.0,80122.0,4.7,25,5YJSA1E27HF225339
807,2016,Model S,70D,20692,AWD,Automatic,Black,Black,46999,1,,,not_rating,NOT HOT,,Free CARFAX 1-Owner Report,OffLeaseOnly.com The Nation's Used Car Destination,4.9,15230.0,77074.0,4.8,27,5YJSA1E26GF129233
809,2015,Model S,70,34290,RWD,Automatic,White,Black,39799,more than 1,,,not_rating,NOT HOT,,Free CARFAX Report,OffLeaseOnly.com The Nation's Used Car Destination,4.9,13060.0,33054.0,4.8,41,5YJSA1E17FF101950
810,2013,Model S,Base,30001,RWD,Automatic,Blue,Beige,34000,more than 1,,38718.0,Good,NOT HOT,,CARFAX Report,Honda World,4.9,3618.0,40299.0,4.9,47,5YJSA1CN5DFP04379
811,2016,Model S,70D,24498,AWD,Automatic,Gray,Gray,43995,1,,49277.0,Good,HOT CAR,7.0,Free CARFAX 1-Owner Report,Highline Motor Cars,4.7,91.0,8088.0,4.8,27,5YJSA1E23GF130727
812,2013,Model S,Base,22456,RWD,Automatic,White,Gray,33699,more than 1,,38871.0,Great,NOT HOT,,CARFAX Report,DriveMaxGroup.com,4.1,63.0,2379.0,4.9,47,5YJSA1AG5DFP12843
813,2018,Model S,75D,14099,AWD,Automatic,Black,Black,60995,more than 1,,64860.0,Good,NOT HOT,,CARFAX Report,Ideal Auto,5.0,20.0,11232.0,4.8,5,5YJSA1E2XJF234249
814,2013,Model S,Performance,72530,RWD,Automatic,Gray,Black,32889,more than 1,,,not_rating,NOT HOT,,CARFAX Report,European Motors,4.9,130.0,75093.0,4.9,47,5YJSA1DP4DFP07631
815,2017,Model X,100D,12409,AWD,Automatic,White,Other,87998,1,89998.0,91236.0,Good,HOT CAR,8.0,Free CARFAX 1-Owner Report,Mercedes-Benz of Nanuet,4.8,47.0,10954.0,4.9,17,5YJXCAE21HF058105
816,2012,Model S,Signature Performance,29022,RWD,Automatic,Other,White,41687,more than 1,,45974.0,Good,NOT HOT,,CARFAX Report,Doug's Lynnwood Mazda,4.8,405.0,98026.0,4.6,11,5YJSA1DP0CFS00580
817,2018,Model S,75D,14900,AWD,Automatic,Black,Black,64657,1,,68727.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Smart Motors,4.7,477.0,53719.0,4.8,5,5YJSA1E21JF248640
818,2017,Model X,100D,17998,AWD,Automatic,Blue,White,84924,1,,89698.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Chestatee Ford,4.9,50.0,30533.0,4.9,17,5YJXCAE2XHF060192
819,2013,Model S,Base,26805,RWD,Automatic,Black,Black,35995,1,,36578.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Nissan of New Rochelle,4.7,361.0,10801.0,4.9,47,5YJSA1AG9DFP04888
820,2015,Model S,90D,26780,AWD,Automatic,Gray,Black,54999,1,56999.0,58909.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Northwest Motorsport - Puyallup,4.9,12245.0,98371.0,4.8,41,5YJSA1E24FF104720
821,2016,Model X,P90D,32503,AWD,Automatic,Blue,Beige,73777,1,,81895.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,The Autobarn FIAT Alfa Romeo of Evanston,4.5,108.0,60202.0,5.0,12,5YJXCAE45GFS00469
822,2013,Model S,Base,50677,RWD,Automatic,Brown,Beige,30998,1,31498.0,34930.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Hanna Imports,4.9,1917.0,27608.0,4.9,47,5YJSA1AC0DFP11161
