"","hotornot","year","config","drivetrain","mileage.x","ext_color","int_color","price.x","good_deal_margin","deal","dealer","dealer_rating","dealer_review_number","consumer_rating","consumer_review_number","fleet","hasAccidents","daysOnMarket","ownerCount"
"636","NOT HOT",2015,"P85D","AWD",83323,"Blue","Beige",45995,51836.0835579515,"not_rating","Highline Auto Sales",4.6,272,4.8,41,"True","False",2,2
"637","NOT HOT",2015,"P85D","AWD",30905,"Silver","Black",56885,67637,"Great","Private Collection Motors",4,52,4.8,41,"True","False",216,1
"638","NOT HOT",2015,"P85D","AWD",15455,"Black","Other",62577,66113,"Good","Luxury Motorsports",3.9,63,4.8,41,"False","False",306,1
"639","NOT HOT",2015,"P85D","AWD",24805,"Blue","Black",56487,60401,"Good","Audi Arlington",3.1,195,4.8,41,"False","False",41,1
"640","HOT CAR",2015,"90D","AWD",46124,"White","Other",44995,51836.0835579515,"not_rating","Federal Auctioneers",3.8,153,4.8,41,"False","False",8,1
"641","HOT CAR",2015,"P85D","AWD",19840,"Blue","Beige",59248,51836.0835579515,"not_rating","Castle Hills Motors",2.4,8,4.8,41,"False","True",34,1
"642","NOT HOT",2014,"Base","RWD",29214,"White","Gray",37900,42008,"Good","German Concepts",3,42,4.9,33,"True","False",103,1
"643","HOT CAR",2014,"Base","RWD",42732,"Brown","Black",36991,40222,"Good","Pearson INFINITI",4.39333333333333,592.363265306122,4.9,33,"False","False",228,1
"644","NOT HOT",2014,"Base","RWD",41387,"Black","Black",36191,39704,"Good","Houston Direct Auto",2.6,77,4.9,33,"False","False",172,1
"645","NOT HOT",2014,"Base","RWD",49650,"Silver","Other",39995,42069,"Good","South Bay Pre-Owned",3.8,24,4.9,33,"False","False",3,2
"646","HOT CAR",2015,"60","RWD",47400,"Black","Other",43000,45624,"Good","private_seller",4.39333333333333,592.363265306122,4.8,41,"False","False",184,2
"647","NOT HOT",2015,"60","RWD",96634,"Red","Black",29850,35088,"Great","Windy City Motors",4.8,757,4.8,41,"False","False",141,1
"648","NOT HOT",2014,"Base","RWD",75374,"White","Other",32490,34704,"Good","Anthony Buick GMC",4.2,256,4.9,33,"False","False",187,2
