carfax,config,consumer_rating,consumer_review_number,deal,dealer,dealer_rating,dealer_review_number,dealer_zipcode,drivetrain,ext_color,good_deal_margin,hotornot,int_color,mileage,model,ori_price,owners,price,sellin,transmission,vin,year
Free CARFAX 1-Owner Report,Signature,4.6,11,Good,Legend Auto Sales Inc,4.9,660,98168,RWD,Silver,"$38,038",NOT HOT,Black,49900,Model S,,1,36500,nan,Other / Unknown,5YJSA1DN4CFS00340,2012
Free CARFAX 1-Owner Report,85D,4.8,41,Good,Legend Auto Sales Inc,4.9,660,98168,AWD,Black,"$49,735",NOT HOT,Black,30680,Model S,47991,1,46991,nan,Automatic,5YJSA1E21FF112743,2015
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,323,78219,RWD,Silver,"$53,968",NOT HOT,Black,3635,Model 3,,1,47000,nan,Automatic,5YJ3E1EAXJF048825,2018
Free CARFAX 1-Owner Report,Base,4.9,47,Good,Legend Auto Sales Inc,4.9,660,98168,RWD,Gray,"$42,528",NOT HOT,Beige,35615,Model S,,1,38900,nan,Other / Unknown,5YJSA1CN8DFP13481,2013
Free CARFAX 1-Owner Report,75D,4.8,27,Good,Legend Auto Sales Inc,4.9,660,98168,RWD,Gray,"$55,321",NOT HOT,Black,25560,Model S,51000,1,50000,nan,Automatic,5YJSA1E18GF147983,2016
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Great,Vroom (Online Dealer - Nationwide Delivery),5.0,1,34950,RWD,Black,"$61,972",NOT HOT,Black,9256,Model 3,,1,48910,nan,Automatic,5YJ3E1EA1JF003868,2018
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,321,32801,RWD,Silver,"$53,968",NOT HOT,Black,3635,Model 3,,1,47000,nan,Automatic,5YJ3E1EAXJF048825,2018
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,320,63103,RWD,Silver,"$53,968",NOT HOT,Black,3635,Model 3,,1,47000,nan,Automatic,5YJ3E1EAXJF048825,2018
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,320,06451,RWD,Silver,"$53,968",NOT HOT,Black,3635,Model 3,,1,47000,nan,Automatic,5YJ3E1EAXJF048825,2018
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,319,64105,RWD,Silver,"$53,968",NOT HOT,Black,3635,Model 3,,1,47000,nan,Automatic,5YJ3E1EAXJF048825,2018
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,319,64105,RWD,Gray,"$53,609",HOT CAR,Black,15142,Model 3,,1,45100,7,Automatic,5YJ3E1EA5JF002867,2018
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,319,18102,RWD,Gray,"$53,609",NOT HOT,Black,15142,Model 3,,1,45100,nan,Automatic,5YJ3E1EA5JF002867,2018
