carfax,config,consumer_rating,consumer_review_number,deal,dealer,dealer_rating,dealer_review_number,dealer_zipcode,drivetrain,ext_color,good_deal_margin,hotornot,int_color,mileage,model,ori_price,owners,price,sellin,transmission,vin,year
Free CARFAX Report,Performance 4dr Liftback,4.6,11,Fair,Vroom (Online Dealer - Nationwide Delivery),3.7,520,29651,RWD,Black,"$37,072",NOT HOT,Gray,44035,Model S,,more than 1,37790,nan,Other / Unknown,5YJSA1DPXCFP01752,2012
Free CARFAX 1-Owner Report,70,4.8,41,Good,Carmel Motors,4.1,53,46032,RWD,Black,"$57,450",NOT HOT,Black,16815,Model S,,1,51995,nan,Automatic,5YJSA1E16FF100417,2015
Free CARFAX 1-Owner Report,90D,4.8,27,Good,Penske Honda,3.9,182,46240,AWD,Black,"$65,610",NOT HOT,Other,14780,Model S,,1,61371,nan,Automatic,5YJSA1E22GF135692,2016
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),3.7,520,37922,RWD,Black,"$53,607",NOT HOT,Black,8490,Model 3,,1,47530,nan,Automatic,5YJ3E1EA4JF056435,2018
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,789,44118,RWD,Black,"$54,098",NOT HOT,Black,8490,Model 3,,1,47530,nan,Automatic,5YJ3E1EA4JF056435,2018
Free CARFAX 1-Owner Report,P100D,4.9,17,Good,Penske Honda,3.9,182,46240,AWD,Blue,"$121,282",NOT HOT,Other,1960,Model X,,1,116541,nan,Automatic,5YJXCAE47HF037924,2017
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,796,94107,RWD,Black,"$53,683",NOT HOT,Black,8490,Model 3,,1,47530,nan,Automatic,5YJ3E1EA4JF056435,2018
CARFAX Report,90D,4.8,41,Good,Raptor Automotive,4.3,13,46818,AWD,White,"$68,428",NOT HOT,Other,36902,Model S,,more than 1,68500,nan,Automatic,5YJSA1V40FF100469,2015
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Godspeed Motors,4.7,57,28269,RWD,White,"$48,910",NOT HOT,Gray,23885,Model S,,1,43995,nan,Automatic,5YJSA1H15EFP61866,2014
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,794,32771,RWD,Black,"$54,098",NOT HOT,Black,8490,Model 3,,1,47530,nan,Automatic,5YJ3E1EA4JF056435,2018
Free CARFAX 1-Owner Report,,4.7,25,Fair,Bobby Rahal Motorcar Company,4.2,90,15090,AWD,Black,"$60,562",NOT HOT,Other,9735,Model S,,1,74880,nan,Automatic,5YJSA1E22HF190208,2017
Free CARFAX 1-Owner Report,P100D,4.8,27,Fair,Mercedes-Benz of Buffalo,nan,nan,14221,AWD,Black,"$100,351",NOT HOT,Other,2009,Model S,102000,1,100850,nan,Automatic,5YJSA1E47GF172366,2016
Free CARFAX 1-Owner Report,,4.9,47,Good,Maximum Auto Outlet,2.6,363,20111,RWD,Black,"$37,466",NOT HOT,Gray,39505,Model S,,1,36995,nan,Automatic,5YJSA1CG2DFP09167,2013
CARFAX Report,Base,4.9,33,Fair,Imperial Highline,4.6,29,20111,RWD,Black,"$40,281",NOT HOT,Beige,45420,Model S,,more than 1,41995,nan,Automatic,5YJSA1H16EFP34076,2014
Free CARFAX 1-Owner Report,AWD 90D 4dr Liftback,4.8,27,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,787,78210,AWD,Silver,"$64,155",HOT CAR,Beige,10552,Model S,,1,63410,6,Automatic,5YJSA1E25GF170775,2016
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,787,15219,RWD,Black,"$53,607",HOT CAR,Black,8490,Model 3,,1,47530,3,Automatic,5YJ3E1EA4JF056435,2018
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,788,06074,RWD,Black,"$54,098",NOT HOT,Black,8490,Model 3,,1,47530,nan,Automatic,5YJ3E1EA4JF056435,2018
Free CARFAX 1-Owner Report,AWD 90D 4dr Liftback,4.8,27,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,788,06074,AWD,Silver,"$69,750",HOT CAR,Beige,10552,Model S,,1,63410,6,Automatic,5YJSA1E25GF170775,2016
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,787,97209,RWD,Black,"$53,448",NOT HOT,Black,9256,Model 3,,1,48910,nan,Automatic,5YJ3E1EA1JF003868,2018
CARFAX Report,Base,4.9,47,Fair,Imperial Highline,4.6,29,20111,RWD,Green,"$29,826",NOT HOT,Black,118112,Model S,,more than 1,31995,nan,Automatic,5YJSA1DN4DFP04162,2013
CARFAX Report,85D,4.8,41,Fair,Imperial Highline,4.6,29,20111,RWD,Red,"$50,082",NOT HOT,Beige,15139,Model S,,more than 1,52995,nan,Automatic,5YJSA1E10FF109551,2015
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,790,33606,RWD,Black,"$53,607",NOT HOT,Black,8490,Model 3,,1,47530,nan,Automatic,5YJ3E1EA4JF056435,2018
Free CARFAX 1-Owner Report,AWD 90D 4dr Liftback,4.8,27,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,790,33606,AWD,Silver,"$63,451",HOT CAR,Beige,10552,Model S,,1,63410,6,Automatic,5YJSA1E25GF170775,2016
Free CARFAX 1-Owner Report,AWD 100D 4dr SUV,4.9,17,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,790,33606,AWD,Black,"$89,842",NOT HOT,Beige,29113,Model X,88180,1,86420,nan,Automatic,5YJXCAE24HF074881,2017
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,788,35244,RWD,Black,"$53,607",NOT HOT,Black,8490,Model 3,,1,47530,nan,Automatic,5YJ3E1EA4JF056435,2018
CARFAX Report,Base,4.9,47,Fair,Imperial Highline,4.6,29,20111,RWD,Gray,"$35,131",NOT HOT,Gray,45202,Model S,,more than 1,36995,nan,Other / Unknown,5YJSA1CG4DFP03810,2013
Free CARFAX 1-Owner Report,AWD 75D 4dr SUV,5.0,12,Great,Vroom (Online Dealer - Nationwide Delivery),3.8,787,29403,AWD,Brown,"$91,463",NOT HOT,Beige,20904,Model X,70760,1,70050,nan,Automatic,5YJXCBE21GF009183,2016
Free CARFAX 1-Owner Report,AWD 100D 4dr SUV,4.9,17,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,789,44118,AWD,Black,"$91,127",NOT HOT,Beige,29113,Model X,88180,1,86420,nan,Automatic,5YJXCAE24HF074881,2017
Free CARFAX 1-Owner Report,AWD 90D 4dr Liftback,4.8,27,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,789,44118,AWD,Silver,"$67,656",NOT HOT,Beige,10552,Model S,,1,63410,nan,Automatic,5YJSA1E25GF170775,2016
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,791,19014,RWD,Black,"$53,939",NOT HOT,Black,9256,Model 3,,1,48910,nan,Automatic,5YJ3E1EA1JF003868,2018
Free CARFAX 1-Owner Report,85D,4.8,41,Good,Carbone Hyundai of Yorkville,4.7,295,13495,AWD,Red,"$49,938",NOT HOT,Black,28200,Model S,45995,1,44962,nan,Automatic,5YJSA4H24FFP73065,2015
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,797,90015,RWD,Black,"$53,939",NOT HOT,Black,9256,Model 3,,1,48910,nan,Automatic,5YJ3E1EA1JF003868,2018
Free CARFAX 1-Owner Report,AWD 100D 4dr SUV,4.9,17,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,793,20817,AWD,Black,"$88,580",HOT CAR,Beige,29113,Model X,88180,1,86420,4,Automatic,5YJXCAE24HF074881,2017
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,787,15219,RWD,Black,"$53,448",NOT HOT,Black,9256,Model 3,,1,48910,nan,Automatic,5YJ3E1EA1JF003868,2018
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,787,78210,RWD,Black,"$53,607",NOT HOT,Black,8490,Model 3,,1,47530,nan,Automatic,5YJ3E1EA4JF056435,2018
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,787,76210,RWD,Black,"$54,208",NOT HOT,Black,8490,Model 3,,1,47530,nan,Automatic,5YJ3E1EA4JF056435,2018
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,790,33606,RWD,Black,"$53,448",NOT HOT,Black,9256,Model 3,,1,48910,nan,Automatic,5YJ3E1EA1JF003868,2018
Free CARFAX 1-Owner Report,AWD 75D 4dr SUV,5.0,12,Great,Vroom (Online Dealer - Nationwide Delivery),3.8,787,54301,AWD,Brown,"$91,333",NOT HOT,Beige,20904,Model X,70760,1,70050,nan,Automatic,5YJXCBE21GF009183,2016
Free CARFAX 1-Owner Report,AWD 75D 4dr SUV,5.0,12,Great,Vroom (Online Dealer - Nationwide Delivery),3.8,787,53233,AWD,Brown,"$92,935",NOT HOT,Beige,20904,Model X,70760,1,70050,nan,Automatic,5YJXCBE21GF009183,2016
Free CARFAX 1-Owner Report,AWD 100D 4dr SUV,4.9,17,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,788,24016,AWD,Black,"$92,931",NOT HOT,Beige,29113,Model X,88180,1,86420,nan,Automatic,5YJXCAE24HF074881,2017
Free CARFAX 1-Owner Report,Base,4.9,33,Good,Choice Auto Center,3.9,15,01545,RWD,Gray,"$53,476",NOT HOT,Black,9300,Model S,,1,49991,nan,Automatic,5YJSA1S11EFP30378,2014
Free CARFAX Report,Performance,4.9,47,Fair,Jones Junction Hyundai,4.2,89,21047,RWD,Black,"$40,212",NOT HOT,Gray,49614,Model S,,more than 1,42989,nan,Automatic,5YJSA1DP8DFP25615,2013
Free CARFAX Report,Signature Performance,4.6,11,Good,CarTopia,4.4,27,07060,RWD,White,"$46,149",NOT HOT,Black,6590,Model S,,more than 1,41900,nan,Automatic,5YJSA1DPXCFS00280,2012
Free CARFAX 1-Owner Report,90D,4.7,25,Good,Autolinx,4.5,9,94590,AWD,Black,"$73,417",NOT HOT,Black,24410,Model S,,1,68800,nan,Automatic,5YJSA1E24HF195314,2017
Free CARFAX 1-Owner Report,AWD 100D 4dr SUV,4.9,17,Fair,Vroom (Online Dealer - Nationwide Delivery),3.8,791,43201,AWD,Black,"$72,619",HOT CAR,Beige,29113,Model X,88180,1,86420,10,Automatic,5YJXCAE24HF074881,2017
Free CARFAX 1-Owner Report,85D,4.8,41,Good,Maserati of Anaheim Hills,1.0,4,92887,AWD,Gray,"$53,620",NOT HOT,Other,28825,Model S,,1,50777,nan,Automatic,5YJSA1H21FFP71532,2015
Free CARFAX 1-Owner Report,Base,4.9,47,Good,Carvana,4.4,321,80202,RWD,Black,"$36,502",NOT HOT,Black,71044,Model S,34300,1,33600,nan,Automatic,5YJSA1AC6DFP10161,2013
Free CARFAX Report,P90D,5.0,12,Fair,Jaguar Land Rover Bethesda,3.8,53,20852,AWD,Other,"$70,641",NOT HOT,Other,12679,Model X,,more than 1,79556,nan,Automatic,5YJXCAE46GF005464,2016
Free CARFAX 1-Owner Report,Signature Performance,4.6,11,Good,Asay Auto,3.8,29,84042,RWD,Silver,"$35,490",NOT HOT,Other,64580,Model S,,1,35500,nan,Automatic,5YJSA1DN2CFS00336,2012
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,ALM Kia South,4.6,1739,30291,RWD,Red,"$43,113",NOT HOT,Beige,51635,Model S,38900,1,37499,nan,Automatic,5YJSA1H14EFP35971,2014
Free CARFAX 1-Owner Report,Base,4.9,33,Fair,Jidd Motors,4.7,1418,60016,RWD,Green,"$35,130",NOT HOT,Beige,55794,Model S,,1,35595,nan,Automatic,5YJSA1S12EFP28543,2014
Free CARFAX 1-Owner Report,Performance,4.9,33,Good,Quantum Auto Sales,4.7,71,92025,RWD,Red,"$48,866",NOT HOT,Other,53630,Model S,,1,46995,nan,Automatic,5YJSA1H14EFP46517,2014
Free CARFAX 1-Owner Report,Base,4.9,47,Good,Carvana,4.4,324,77074,RWD,Black,"$36,497",NOT HOT,Black,71044,Model S,,1,33600,nan,Automatic,5YJSA1AC6DFP10161,2013
Free CARFAX 1-Owner Report,Base,4.9,33,Good,Haims Motors Ft. Lauderdale,4.7,403,33313,RWD,Black,"$40,081",NOT HOT,Beige,40609,Model S,,1,37588,nan,Automatic,5YJSA1S11EFP60576,2014
Free CARFAX 1-Owner Report,70D,4.8,41,Good,Wholesale Inc.,4.8,340,37122,AWD,Gray,"$42,915",NOT HOT,Black,39970,Model S,,1,40377,nan,Automatic,5YJSA1S21FF095740,2015
Free CARFAX 1-Owner Report,75D,5.0,5,Good,Bentley Atlanta,4.9,11,30009,AWD,Blue,"$90,427",HOT CAR,Black,6021,Model X,87991,1,85991,4,Automatic,5YJXCBE20JF109461,2018
Free CARFAX 1-Owner Report,AWD 100D 4dr SUV,4.9,17,Fair,Vroom (Online Dealer - Nationwide Delivery),3.8,787,97209,AWD,Black,"$79,521",HOT CAR,Beige,29113,Model X,88180,1,86420,10,Automatic,5YJXCAE24HF074881,2017
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,320,33602,RWD,Silver,"$53,968",NOT HOT,Black,6548,Model 3,,1,47600,nan,Automatic,5YJ3E1EA4JF017635,2018
Free CARFAX 1-Owner Report,75D,4.7,25,Good,Tom Naquin Chevrolet Cadillac Nissan,4.6,42,46514,AWD,Black,"$56,067",NOT HOT,Black,27859,Model S,,1,58575,nan,Automatic,5YJSA1E2XHF192255,2017
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,320,33166,RWD,Silver,"$53,968",NOT HOT,Black,6548,Model 3,,1,47600,nan,Automatic,5YJ3E1EA4JF017635,2018
Free CARFAX 1-Owner Report,60,4.8,41,Good,Private Collection Motors,4.0,52,92627,RWD,Silver,"$48,631",NOT HOT,Black,31660,Model S,,1,42888,nan,Automatic,5YJSA1S12FF098976,2015
Free CARFAX 1-Owner Report,70D,4.8,27,Good,Motor Cars of Nashville,4.3,40,37122,RWD,Black,"$50,909",NOT HOT,Black,18896,Model S,,1,46899,nan,Automatic,5YJSA1E15GF131174,2016
Free CARFAX Report,75D,4.8,27,Fair,Chicago Motor Cars,4.7,542,60185,AWD,Silver,"$60,338",NOT HOT,Black,3639,Model S,,more than 1,64800,nan,Automatic,5YJSA1E21GF169333,2016
Free CARFAX 1-Owner Report,90D,4.9,17,Good,Chicago Auto Place,3.9,233,60106,AWD,Other,"$88,275",NOT HOT,Other,16034,Model X,89888,1,84888,nan,Automatic,5YJXCAE28HF051409,2017
Free CARFAX 1-Owner Report,Signature Performance,4.6,11,Good,Hollywood Auto Center Inc.,nan,nan,91606,RWD,Blue,"$44,983",NOT HOT,Beige,41772,Model S,,1,41300,nan,Automatic,5YJSA1CP0CFP01650,2012
CARFAX Report,100D,4.7,25,Good,CarMax Irvine,5.0,4,92618,AWD,Gray,"$77,948",NOT HOT,Black,32429,Model S,,more than 1,69998,nan,Automatic,5YJSA1E29HF190982,2017
Free CARFAX 1-Owner Report,75D,5.0,12,Good,INFINITI of Hoffman Estates,4.8,1092,60169,AWD,Silver,"$76,367",NOT HOT,Black,7120,Model X,72777,1,70977,nan,Automatic,5YJXCAE23GF016162,2016
Free CARFAX 1-Owner Report,70D,4.8,27,Fair,Ultimo Motors East,4.1,104,60559,AWD,Blue,"$45,856",NOT HOT,Black,37567,Model S,,1,51977,nan,Automatic,5YJSA1E20GF133861,2016
Free CARFAX 1-Owner Report,70,4.8,27,Fair,Las Vegas Auto Sport,3.4,10,89103,RWD,Gray,"$41,389",NOT HOT,Beige,49619,Model S,,1,41999,nan,Automatic,5YJSA1E10GF121958,2016
CARFAX Report,P90D,4.8,27,Fair,Performance Motors,nan,nan,84042,AWD,Gray,"$59,797",NOT HOT,Black,48014,Model S,,more than 1,63999,nan,Automatic,5YJSA1E4XGF128135,2016
Free CARFAX 1-Owner Report,P90D,4.8,27,Fair,Priced Rite Auto,nan,nan,68528,AWD,Red,"$71,264",NOT HOT,Black,11150,Model S,,1,79000,nan,Automatic,5YJSA1E43GF141843,2016
Free CARFAX 1-Owner Report,75 4dr Liftback (midyear release),4.8,27,Great,Vroom (Online Dealer - Nationwide Delivery),3.3,4,55404,RWD,Silver,"$65,185",NOT HOT,Black,25505,Model S,54990,1,53890,nan,Automatic,5YJSA1E13GF142268,2016
CARFAX Report,Performance,4.9,47,Good,Auto Holding,4.3,779,07205,RWD,Blue,"$45,872",NOT HOT,Beige,28565,Model S,,more than 1,40895,nan,Automatic,5YJSA1DP4DFP04101,2013
Free CARFAX 1-Owner Report,Performance,4.6,11,Great,East Bay MINI,5.0,21,94588,RWD,Other,"$43,844",HOT CAR,Beige,64085,Model S,,1,35841,11,Automatic,5YJSA1CP3CFP02808,2012
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,324,77074,RWD,Silver,"$53,968",NOT HOT,Black,6548,Model 3,,1,47600,nan,Automatic,5YJ3E1EA4JF017635,2018
Free CARFAX 1-Owner Report,Performance,4.6,11,Great,Private Collection Motors,4.0,52,92627,RWD,Other,"$48,448",NOT HOT,White,45030,Model S,,1,36888,nan,Automatic,5YJSA1DN1CFS00120,2012
Free CARFAX Report,Base,4.9,47,Fair,O.C. AUTOHAUS,4.3,67,92683,RWD,White,"$41,440",NOT HOT,Black,15559,Model S,,more than 1,43995,nan,Automatic,5YJSA1BC3DFP10116,2013
Free CARFAX 1-Owner Report,Performance,4.9,47,Good,Specialties Automotive Group,nan,nan,84014,RWD,Blue,"$40,547",NOT HOT,Beige,62448,Model S,,1,39995,nan,Automatic,5YJSA1CP1DFP05420,2013
Free AutoCheck Report,75D,4.8,5,Good,Sarasota Ford,4.9,714,34236,AWD,Black,"$69,865",HOT CAR,Other,14701,Model S,65770,more than 1,64000,10,Automatic,5YJSA1E26JF248830,2018
Free CARFAX 1-Owner Report,70D-1 OWNER AUTOPILOT ENABLED ROOF SUBZERO PACKAGE,4.8,41,Great,Chicago Auto Place,3.9,233,60106,AWD,White,"$57,514",NOT HOT,Black,17038,Model S,,1,49888,nan,Automatic,5YJSA1E25FF116634,2015
Free CARFAX 1-Owner Report,70D,4.8,41,Good,World Class Motors,3.9,64,46060,AWD,White,"$48,067",NOT HOT,Other,19773,Model S,,1,44997,nan,Automatic,5YJSA1E24FF117418,2015
Free CARFAX 1-Owner Report,85D,4.8,41,Good,Rolls-Royce Motor Cars Raleigh,4.8,69,27616,AWD,White,"$52,903",NOT HOT,Other,14125,Model S,,1,49988,nan,Automatic,5YJSA1H2XFF085862,2015
Free CARFAX 1-Owner Report,75,4.7,25,Good,Pearson Buick GMC,5.0,22,94087,RWD,Silver,"$57,341",NOT HOT,Black,23476,Model S,,1,52555,nan,Automatic,5YJSA1E11HF206549,2017
Free CARFAX 1-Owner Report,Base,4.9,47,Great,Carvana,4.4,319,95354,RWD,Black,"$39,171",NOT HOT,Black,71044,Model S,34300,1,33600,nan,Automatic,5YJSA1AC6DFP10161,2013
Free CARFAX 1-Owner Report,90D,4.7,25,Good,Diablo Motors Auto Sales,5.0,5,94583,AWD,Gray,"$73,549",NOT HOT,Black,12000,Model S,,1,69900,nan,Automatic,5YJSA1E28HF195316,2017
Free CARFAX Report,Performance,4.9,47,Good,Luxury Auto Plex LLC,4.0,11,97225,RWD,Blue,"$48,993",HOT CAR,Other,11954,Model S,,more than 1,44950,5,Automatic,5YJSA1DP0DFP05178,2013
Free CARFAX 1-Owner Report,90D AUTOPILOT,4.8,41,Fair,Private Collection Motors,4.0,52,92627,AWD,Black,"$51,337",NOT HOT,Beige,14167,Model S,,1,53885,nan,Automatic,5YJSA1E2XFF119089,2015
Free CARFAX 1-Owner Report,90D,5.0,12,Fair,O.C. AUTOHAUS,4.3,67,92683,AWD,Blue,"$77,830",NOT HOT,Black,23930,Model X,,1,79995,nan,Automatic,5YJXCBE27GF001539,2016
Free CARFAX 1-Owner Report,Long Range Only 5k Miles Panoramic Roof Nav,4.5,69,Good,Freeman Motor Company of Portland,3.8,18,97219,RWD,White,"$52,672",NOT HOT,Black,5448,Model 3,,1,46995,nan,Automatic,5YJ3E1EA8JF005794,2018
Free CARFAX 1-Owner Report,AWD 90D 4dr Liftback,4.8,27,Fair,Vroom (Online Dealer - Nationwide Delivery),3.8,792,85004,AWD,Silver,"$54,962",HOT CAR,Beige,10552,Model S,,1,63410,6,Automatic,5YJSA1E25GF170775,2016
Free CARFAX Report,70D,4.8,41,Fair,Excellent Choice Auto Sales,nan,nan,98204,AWD,Blue,"$43,507",NOT HOT,Other,44260,Model S,,more than 1,43991,nan,Automatic,5YJSA1S22FF084942,2015
Free CARFAX 1-Owner Report,AWD 90D 4dr Liftback,4.8,27,Fair,Vroom (Online Dealer - Nationwide Delivery),3.8,787,75035,AWD,Silver,"$59,692",HOT CAR,Beige,10552,Model S,,1,63410,6,Automatic,5YJSA1E25GF170775,2016
Free CARFAX 1-Owner Report,AWD 90D 4dr Liftback,4.8,27,Fair,Vroom (Online Dealer - Nationwide Delivery),3.8,787,54301,AWD,Silver,"$59,722",HOT CAR,Beige,10552,Model S,,1,63410,6,Automatic,5YJSA1E25GF170775,2016
Free CARFAX Report,Performance 4dr Liftback,4.6,11,Fair,Vroom (Online Dealer - Nationwide Delivery),3.8,797,90015,RWD,Black,"$36,254",NOT HOT,Gray,44035,Model S,,more than 1,37790,nan,Other / Unknown,5YJSA1DPXCFP01752,2012
Free CARFAX 1-Owner Report,AWD 90D 4dr Liftback,4.8,27,Fair,Vroom (Online Dealer - Nationwide Delivery),3.8,797,90015,AWD,Silver,"$58,621",HOT CAR,Beige,10552,Model S,,1,63410,6,Automatic,5YJSA1E25GF170775,2016
Free CARFAX 1-Owner Report,100D,5.0,5,Good,Park Place LTD,2.4,18,98005,AWD,Silver,"$99,867",NOT HOT,Black,8760,Model X,,1,99950,nan,Automatic,5YJXCDE24JF104484,2018
Free CARFAX 1-Owner Report,90D,5.0,12,Fair,Las Vegas Auto Sport,3.4,10,89103,AWD,Black,"$66,152",NOT HOT,Black,35992,Model X,,1,71499,nan,Automatic,5YJXCAE23GF002312,2016
Free CARFAX 1-Owner Report,Base,4.9,47,Great,Carvana,4.4,326,85281,RWD,Black,"$41,512",NOT HOT,Black,71044,Model S,34300,1,33600,nan,Automatic,5YJSA1AC6DFP10161,2013
Free CARFAX 1-Owner Report,AWD 90D 4dr Liftback,4.8,27,Fair,Vroom (Online Dealer - Nationwide Delivery),3.8,796,94107,AWD,Silver,"$58,105",HOT CAR,Beige,10552,Model S,,1,63410,6,Automatic,5YJSA1E25GF170775,2016
Free CARFAX 1-Owner Report,75D,4.7,25,Good,Blinker Private Party - Denver,nan,nan,80202,AWD,Other,"$68,559",NOT HOT,Black,20500,Model S,,1,64900,nan,Automatic,5YJSA1E21HF219276,2017
Free CARFAX 1-Owner Report,AWD 100D 4dr SUV,4.9,17,Fair,Vroom (Online Dealer - Nationwide Delivery),3.8,787,98101,AWD,Black,"$73,449",NOT HOT,Beige,29113,Model X,88180,1,86420,nan,Automatic,5YJXCAE24HF074881,2017
Free CARFAX 1-Owner Report,AWD 90D 4dr Liftback,4.8,27,Fair,Vroom (Online Dealer - Nationwide Delivery),3.8,787,98101,AWD,Silver,"$55,800",HOT CAR,Beige,10552,Model S,,1,63410,6,Automatic,5YJSA1E25GF170775,2016
Free CARFAX 1-Owner Report,AWD 90D 4dr Liftback,4.8,27,Fair,Vroom (Online Dealer - Nationwide Delivery),3.8,797,80205,AWD,Silver,"$58,575",NOT HOT,Beige,10552,Model S,,1,63410,nan,Automatic,5YJSA1E25GF170775,2016
Free CARFAX 1-Owner Report,AWD 100D 4dr SUV,4.9,17,Fair,Vroom (Online Dealer - Nationwide Delivery),3.8,787,71111,AWD,Black,"$86,481",HOT CAR,Beige,29113,Model X,88180,1,86420,4,Automatic,5YJXCAE24HF074881,2017
Free CARFAX Report,BASE,4.5,69,Good,Blinker Private Party - Denver,nan,nan,80202,RWD,Black,"$53,968",NOT HOT,Black,6843,Model 3,,more than 1,49900,nan,Automatic,5YJ3E1EA8JF003933,2018
Free CARFAX 1-Owner Report,AWD 100D 4dr SUV,4.9,17,Fair,Vroom (Online Dealer - Nationwide Delivery),3.8,788,06074,AWD,Black,"$87,660",NOT HOT,Beige,29113,Model X,88180,1,86420,nan,Automatic,5YJXCAE24HF074881,2017
Free CARFAX 1-Owner Report,Long Range,4.5,69,Good,ICON Exotics,nan,nan,77057,RWD,Black,"$52,528",NOT HOT,Black,2193,Model 3,,1,46995,nan,Automatic,5YJ3E1EA7JF098338,2018
Free CARFAX 1-Owner Report,AWD 100D 4dr SUV,4.9,17,Fair,Vroom (Online Dealer - Nationwide Delivery),3.8,788,89523,AWD,Black,"$86,481",HOT CAR,Beige,29113,Model X,88180,1,86420,4,Automatic,5YJXCAE24HF074881,2017
Free CARFAX 1-Owner Report,AWD 90D 4dr Liftback,4.8,27,Fair,Texas Direct Auto,2.9,1654,77477,AWD,Silver,"$58,522",NOT HOT,Beige,10552,Model S,,1,63410,nan,Automatic,5YJSA1E25GF170775,2016
Free CARFAX 1-Owner Report,70D,4.8,41,Good,"Certified Autoplex, Inc.",4.8,1330,75006,AWD,White,"$54,391",NOT HOT,Black,20524,Model S,,1,48996,nan,Automatic,5YJSA1S25FF092016,2015
Free CARFAX Report,85D,4.8,41,Good,Auto Centrix,5.0,6,75006,AWD,Red,"$47,156",NOT HOT,Black,60994,Model S,,more than 1,44989,nan,Automatic,5YJSA1H23FF085203,2015
Free CARFAX 1-Owner Report,90D,4.8,27,Good,Auto Centrix,5.0,6,75006,AWD,Red,"$65,026",NOT HOT,Black,5624,Model S,,1,60989,nan,Automatic,5YJSA1E23GF131201,2016
Free CARFAX 1-Owner Report,85D,4.8,27,Fair,North American Auto Group,nan,nan,70806,AWD,Black,"$49,604",NOT HOT,Black,54809,Model S,,1,49997,nan,Automatic,5YJSA1E2XGF126609,2016
Free CARFAX 1-Owner Report,Mid Range Battery RWD,4.5,69,Good,Jaguar Land Rover Minneapolis,4.2,418,55426,RWD,Black,"$55,269",NOT HOT,Other,1096,Model 3,,1,52999,nan,Automatic,5YJ3E1EA5JF157385,2018
Free CARFAX 1-Owner Report,60,4.8,41,Good,"Discovery Auto Center, LLC",3.9,37,33612,RWD,Black,"$42,358",NOT HOT,Other,42879,Model S,,1,41490,nan,Automatic,5YJSA1S15FFP68472,2015
Free CARFAX 1-Owner Report,AWD 100D 4dr SUV,4.9,17,Fair,Vroom (Online Dealer - Nationwide Delivery),3.8,787,93307,AWD,Black,"$86,481",HOT CAR,Beige,29113,Model X,88180,1,86420,4,Automatic,5YJXCAE24HF074881,2017
Free CARFAX 1-Owner Report,90D,4.8,41,Fair,Sunshine Auto Mall,5.0,211,32817,AWD,Black,"$46,699",NOT HOT,Black,96900,Model S,,1,53000,nan,Automatic,5YJSA1V42FF100330,2015
