,fleet,listedDate,listedDate,Date,price,exteriorColorName,mileage,msrpString,trimName,daysOnMarket,ownerCount,sellerRating,serviceProviderName,carYear,savingsRecommendation,vehicleIdentifier,sellerCity,dealScore,hasAccidents,priceDifferential,expectedPrice,modelName,wheelSystem,makeName
52,TRUE,1543475799000,1543475799,11/29/2018,32910,Silver,33455,"$105,400",85 RWD,157,1,4.25,"Fortune Motor Group, Inc.",2013,Great Deal,5YJSA1DN1DFP21582,"Waukegan, IL",1.38785604,TRUE,3564,36474,Model S,RWD,Tesla
53,FALSE,1556328041000,1556328041,4/26/2019,42990,Unknown,24289,,70D AWD,8,1,4.11,Autoshow Sales & Service,2016,Great Deal,5YJSA1E28GF129993,"Plantation, FL",1.387694773,FALSE,5276,48266,Model S,AWD,Tesla
54,FALSE,1556316884000,1556316884,4/26/2019,38995,White,28602,,70 RWD,8,1,4.45,Highline Auto Sales,2015,Great Deal,5YJSA1S14FF099532,"Willowbrook, IL",1.387435789,FALSE,3022,42017,Model S,RWD,Tesla
55,FALSE,1547303320000,1547303320,1/12/2019,98945,Red,14353,"$121,900",P100D AWD,113,1,4.65,Gosch Ford Temecula,2017,Great Deal,5YJSA1E41HF188421,"Temecula, CA",1.378550367,FALSE,7725,106670,Model S,AWD,Tesla
56,FALSE,1555092460000,1555092460,4/12/2019,39555,Black,32799,,70 RWD,23,1,4.12,Sam Jidd Luxury,2016,Great Deal,5YJSA1E16GF123861,"Des Plaines, IL",1.373066726,FALSE,6026,45581,Model S,RWD,Tesla
57,FALSE,1553637735000,1553637735,3/26/2019,29995,Black,61231,,60 RWD,39,3,4.45,Highline Auto Sales,2014,Great Deal,5YJSA1S19EFP29916,"Willowbrook, IL",1.371736664,FALSE,5748,35743,Model S,RWD,Tesla
58,FALSE,1553736060000,1553736060,3/27/2019,28995,Blue,99673,,85 RWD,38,2,4.67,Rev It Motors,2013,Great Deal,5YJSA1CNXDFP04331,"Lakeside, CA",1.354373378,FALSE,3478,32473,Model S,RWD,Tesla
59,FALSE,1554859713000,1554859713,4/9/2019,42995,Brown,22791,,85D AWD,25,1,4.17,Auto Boutique - Columbus,2015,Great Deal,5YJSA1E27FF111998,"Columbus, OH",1.35380014,FALSE,6551,49546,Model S,AWD,Tesla
60,FALSE,1556347009000,1556347009,4/27/2019,44995,White,46124,,P85D AWD,8,1,4.17,Federal Auctioneers,2015,Great Deal,5YJSA1H49FF094375,"Bronx, NY",1.342652418,FALSE,8756,53751,Model S,AWD,Tesla
61,TRUE,1554487624000,1554487624,4/5/2019,58855,Black,14019,,75D AWD,30,1,4.12,Sam Jidd Luxury,2018,Great Deal,5YJSA1E20JF246443,"Des Plaines, IL",1.341095631,FALSE,4614,63469,Model S,AWD,Tesla
62,TRUE,1556672817000,1556672817,4/30/2019,55993,Black,18635,"$64,224",75D AWD,4,1,4.26,Greenwich Infiniti,2018,Great Deal,5YJSA1E27JF234239,"Greenwich, CT",1.334671264,FALSE,5280,61273,Model S,AWD,Tesla
63,FALSE,1555712449000,1555712449,4/19/2019,31995,Black,57072,,85 RWD,15,1,4.45,Highline Auto Sales,2013,Good Deal,5YJSA1CN4DFP13106,"Willowbrook, IL",1.296362719,FALSE,3329,35324,Model S,RWD,Tesla
64,TRUE,1543074335000,1543074335,11/24/2018,32555,Silver,51511,,85 RWD,162,2,4.12,Sam Jidd Luxury,2013,Good Deal,5YJSA1DN3DFP24239,"Des Plaines, IL",1.293248052,FALSE,3321,35876,Model S,RWD,Tesla
65,TRUE,1550313463000,1550313463,2/16/2019,32477,Red,66197,,85 RWD,78,1,5,Go Auto Brokers,2013,Good Deal,5YJSA1CN4DFP27474,"Bellevue, WA",1.293248052,FALSE,3321,35798,Model S,RWD,Tesla
66,TRUE,1555060979000,1555060979,4/12/2019,49948,Black,25808,"$55,991",75 RWD,23,1,3.86,Hyundai Serramonte,2017,Good Deal,5YJSA1E16HF218941,"Colma, CA",1.293059727,FALSE,3186,53134,Model S,RWD,Tesla
67,FALSE,1555426588000,1555426588,4/16/2019,98988,Silver,9101,,P100D AWD,19,1,4.42,Rolls-Royce Motor Cars Raleigh,2018,Good Deal,5YJSA1E48JF261144,"Raleigh, NC",1.283923368,FALSE,11304,110292,Model S,AWD,Tesla
68,FALSE,1556302106000,1556302106,4/26/2019,38555,Blue,36870,,85 RWD,9,1,4.12,Sam Jidd Luxury,2015,Good Deal,5YJSA1E14FF114896,"Des Plaines, IL",1.280384474,FALSE,4114,42669,Model S,RWD,Tesla
69,FALSE,1553289708000,1553289708,3/22/2019,82982,Black,2064,,100D AWD,43,1,4.43,Centennial Leasing & Sales,2018,Good Deal,5YJSA1E23JF285589,"Englewood, CO",1.272591697,FALSE,4776,87758,Model S,,Tesla
70,TRUE,1556310577000,1556310577,4/26/2019,27900,White,83000,,60 RWD,8,1,4.11,Brilliant Auto Sales,2013,Good Deal,5YJSA1AG3DFP04966,"New Brunswick, NJ",1.262441397,TRUE,2713,30613,Model S,RWD,Tesla
71,FALSE,1555706744000,1555706744,4/19/2019,53799,Unknown,33392,,90D AWD,15,1,3.9,MotorCars of Nashville,2016,Good Deal,5YJSA1E28GF128505,"Mt Juliet, TN",1.260839835,FALSE,6491,60290,Model S,AWD,Tesla
72,FALSE,1556952042000,1556952042,5/4/2019,53999,Gray,32836,"$104,500",P90D AWD,1,2,3.88,AX Auto Inc,2015,Good Deal,5YJSA1V44FF099200,"Atlanta, GA",1.25753103,TRUE,7289,61288,Model S,AWD,Tesla
73,FALSE,1542079639000,1542079639,11/12/2018,50621,Unknown,40385,"$55,290",90D AWD,173,1,4.52,Roesch Ford,2016,Good Deal,5YJSA1E21GF130564,"Bensenville, IL",1.249768166,FALSE,6434,57055,Model S,AWD,Tesla
74,TRUE,1556216665000,1556216665,4/25/2019,59855,Black,3584,,75D AWD,9,1,4.12,Sam Jidd Luxury,2018,Good Deal,5YJSA1E2XJF293656,"Des Plaines, IL",1.245149799,TRUE,4972,64827,Model S,AWD,Tesla
75,TRUE,1556097740000,1556097740,4/24/2019,48863,Black,30079,,75 RWD,11,1,4.44,Folsom Lake Toyota,2017,Good Deal,5YJSA1E16HF202593,"Folsom, CA",1.244365026,FALSE,3066,51929,Model S,RWD,Tesla
76,FALSE,1556346898000,1556346898,4/27/2019,43990,Blue,15838,"$75,000",70D AWD,8,1,4.53,NextGear Motors,2016,Good Deal,5YJSA1E20GF130653,"Raleigh, NC",1.242137974,FALSE,5483,49473,Model S,AWD,Tesla
77,FALSE,1556723634000,1556723634,5/1/2019,63495,Blue,8196,,75D AWD,4,1,4.61,Texas Cars Direct,2017,Good Deal,5YJSA1E22HF194758,"Dallas, TX",1.239539614,FALSE,3107,66602,Model S,AWD,Tesla
78,FALSE,1552755411000,1552755411,3/16/2019,99999,Blue,13979,,P100D AWD,50,1,4,Arcari Motor Sales,2017,Good Deal,5YJSA1E44HF227597,"Tolland, CT",1.220281997,FALSE,6838,106837,Model S,AWD,Tesla
79,FALSE,1547871620000,1547871620,1/18/2019,87900,Unknown,32856,"$98,500",P100D AWD,106,1,4.77,Greenwood Automotive,2016,Good Deal,5YJSA1E49GF177648,"Greenwood Village, CO",1.21235862,FALSE,7709,95609,Model S,AWD,Tesla
80,TRUE,1556702640000,1556702640,5/1/2019,49972,Silver,26516,,75 RWD,4,1,4.44,Folsom Lake Toyota,2017,Good Deal,5YJSA1E15HF218932,"Folsom, CA",1.202162951,FALSE,2962,52934,Model S,RWD,Tesla
81,FALSE,1555983279000,1555983279,4/22/2019,33995,Brown,67660,,Performance RWD,12,3,4.44,Caragents,2013,Good Deal,5YJSA1DP7DFP13083,"San Rafael, CA",1.195721675,FALSE,4271,38266,Model S,RWD,Tesla
82,FALSE,1554208878000,1554208878,4/2/2019,92999,Black,15245,,P100D AWD,33,1,4.82,Volvo Cars of Exeter,2016,Good Deal,5YJSA1E46GF171032,"Exeter, NH",1.193172355,FALSE,7587,100586,Model S,AWD,Tesla
83,FALSE,1556949759000,1556949759,5/4/2019,27590,Green,93670,,60 RWD,1,1,4.17,Lou Fusz Mazda,2013,Good Deal,5YJSA1CG7DFP20987,"Saint Louis, MO",1.18893724,FALSE,2555,30145,Model S,RWD,Tesla
84,FALSE,1545290180000,1545290180,12/20/2018,39695,Black,24754,,Performance RWD,136,1,4.36,Jax Exports Inc.,2013,Good Deal,5YJSA1DP2DFP17039,"Jacksonville, FL",1.186204101,FALSE,4237,43932,Model S,RWD,Tesla
85,FALSE,1555092460000,1555092460,4/12/2019,40855,White,30597,,70D AWD,23,1,4.12,Sam Jidd Luxury,2016,Good Deal,5YJSA1E23GF132395,"Des Plaines, IL",1.185439583,TRUE,4507,45362,Model S,AWD,Tesla
86,FALSE,1555092460000,1555092460,4/12/2019,38555,Unknown,33469,,70 RWD,23,1,4.12,Sam Jidd Luxury,2016,Good Deal,5YJSA1E12GF131441,"Des Plaines, IL",1.168460516,TRUE,5128,43683,Model S,RWD,Tesla
87,FALSE,1547161850000,1547161850,1/10/2019,40970,Black,18328,,Performance RWD,114,2,4.4,"Milan Motors, LLC",2013,Good Deal,5YJSA1DP9DFP20066,"Little Ferry, NJ",1.16352988,FALSE,4156,45126,Model S,RWD,Tesla
88,FALSE,1556153668000,1556153668,4/24/2019,58977,Red,13121,,90D AWD,10,1,4.56,iDrive1 Motorcars,2016,Good Deal,5YJSA1E21GF125798,"Carrollton, TX",1.159446657,FALSE,5969,64946,Model S,AWD,Tesla
89,FALSE,1556182045000,1556182045,4/25/2019,56999,Gray,21860,,90D AWD,10,1,4.49,Las Vegas Auto Sports,2016,Good Deal,5YJSA1E28GF138239,"Las Vegas, NV",1.153813703,FALSE,5940,62939,Model S,AWD,Tesla
90,FALSE,1552956314000,1552956314,3/18/2019,37200,Blue,50332,,70 RWD,47,2,5,"Driven Ev, LLC",2015,Good Deal,5YJSA1E12FF101967,"Livermore, CA",1.15329773,FALSE,2512,39712,Model S,RWD,Tesla
91,FALSE,1555569285000,1555569285,4/18/2019,45990,Silver,29975,"$75,000",85D AWD,17,2,4.53,NextGear Motors,2016,Good Deal,5YJSA1E2XGF128988,"Raleigh, NC",1.152487348,FALSE,6307,52297,Model S,AWD,Tesla
92,TRUE,1553246808000,1553246808,3/22/2019,50995,Black,15843,,75 RWD,44,1,4.12,San Diego Auto Finder,2017,Good Deal,5YJSA1E19HF200076,"San Diego, CA",1.151845093,TRUE,2838,53833,Model S,RWD,Tesla
93,FALSE,1556949158000,1556949158,5/4/2019,49989,Silver,13353,"$54,995",60D AWD,1,1,4.62,Auto Centrix,2016,Good Deal,5YJSA1E21GF130743,"Carrollton, TX",1.149548604,FALSE,7002,56991,Model S,AWD,Tesla
94,FALSE,1553573415000,1553573415,3/25/2019,36995,White,50839,"$75,000",70D AWD,40,2,4.71,RDU Auto Sales,2015,Good Deal,5YJSA1S2XFF082226,"Raleigh, NC",1.145206092,FALSE,3011,40006,Model S,AWD,Tesla
95,FALSE,1548756858000,1548756858,1/29/2019,43995,Silver,23870,,70D AWD,96,1,4,Car Time Inc,2016,Good Deal,5YJSA1E25GF122192,"San Jose, CA",1.138886698,FALSE,4330,48325,Model S,AWD,Tesla
96,FALSE,1553979764000,1553979764,3/30/2019,42599,Gray,34601,,85D AWD,35,1,3.9,MotorCars of Nashville,2015,Good Deal,5YJSA1E26FF116092,"Mt Juliet, TN",1.128137724,FALSE,5459,48058,Model S,AWD,Tesla
